"Reference.Area","X2008","X2009","X2010","X2011","X2012","X2013","X2014"
"Aberdeen City",9330,9485,9555,9805,10340,10665,11300
"Aberdeenshire",13115,13320,13570,13800,14280,14560,15055
"Angus",4125,4125,4160,4130,4240,4235,4350
"Argyll and Bute",4640,4610,4515,4465,4570,4490,4535
"City of Edinburgh",19035,18790,18880,18850,19380,19605,20535
"Clackmannanshire",1285,1285,1270,1245,1265,1225,1290
"Dumfries and Galloway",NA,NA,NA,NA,NA,NA,7405
"Dundee City",3985,3975,3960,3885,3990,4015,4160
"East Ayrshire",3465,3420,3365,3325,3410,3380,3465
"East Dunbartonshire",2840,2885,2915,2900,3015,2975,3135
"East Lothian",2935,2995,3020,3010,3120,3205,3290
"East Renfrewshire",2345,2360,2430,2400,2535,2575,2705
"Eilean Siar",1270,1285,1260,1210,1270,1270,1305
"Falkirk",3995,4005,4025,4015,4130,4185,4355
"Fife",NA,NA,NA,NA,NA,NA,10560
"Glasgow City",19770,19875,19985,19820,20335,20290,21125
"Highland",NA,NA,NA,NA,NA,NA,10000
"Inverclyde",1925,1895,1865,1840,1915,1895,1950
"Midlothian",2340,2320,2320,2310,2355,2380,2465
"Moray",3605,3615,3630,3585,3640,3640,3675
"North Ayrshire",3610,3620,3560,3460,3560,3520,3690
"North Lanarkshire",7690,7670,7640,7595,7895,7925,8345
"Orkney Islands",1625,1590,1600,1575,1595,1570,1630
"Perth and Kinross",6800,6760,6740,6620,6740,6700,6875
"Renfrewshire",5030,5050,5070,4990,5080,5050,5240
"Scottish Borders",5725,5725,5660,5550,5640,5560,5705
"Shetland Islands",1460,1425,1440,1455,1495,1525,1560
"South Ayrshire",4110,4095,4050,4000,4055,4000,4075
"South Lanarkshire",9190,9200,9245,9115,9360,9405,9795
"Stirling",4250,4260,4230,4225,4330,4280,4400
"West Dunbartonshire",1990,1990,2005,1990,2050,2045,2135
"West Lothian",4890,4865,4885,4835,4950,5005,5250
