GeographyCode,DateCode,Measurement,Units,Value
S92000003,2000,Ratio,Percent Of Gross Consumption,12.2
S92000003,2001,Ratio,Percent Of Gross Consumption,10.4
S92000003,2002,Ratio,Percent Of Gross Consumption,12.3
S92000003,2003,Ratio,Percent Of Gross Consumption,9
S92000003,2004,Ratio,Percent Of Gross Consumption,14.1
S92000003,2005,Ratio,Percent Of Gross Consumption,15.5
S92000003,2006,Ratio,Percent Of Gross Consumption,16.8
S92000003,2007,Ratio,Percent Of Gross Consumption,19.7
S92000003,2008,Ratio,Percent Of Gross Consumption,22.1
S92000003,2009,Ratio,Percent Of Gross Consumption,27.2
S92000003,2010,Ratio,Percent Of Gross Consumption,23.9
S92000003,2011,Ratio,Percent Of Gross Consumption,36.2
S92000003,2012,Ratio,Percent Of Gross Consumption,39
S92000003,2013,Ratio,Percent Of Gross Consumption,44.4
S92000003,2014,Ratio,Percent Of Gross Consumption,49.7
S92000003,2015,Ratio,Percent Of Gross Consumption,57.4
